x  y
2583885 0.15
2583885 0.17
2583885 0.18
2583885 0.19
2583885 0.20
2583885 0.22
2583885 0.23
2583885 0.24
2583885 0.25
2583885 0.27
2583885 0.28
2583885 0.29
2583885 0.30
2583885 0.31
2583885 0.32
2583885 0.33
2583885 0.34
2583885 0.35
2583885 0.37
2592140 0.10
2592140 0.11
2592140 0.12
2592140 0.14
2592140 0.15
2592140 0.17
2592140 0.18
2592140 0.19
2592140 0.20
2592140 0.21
2592140 0.22
2592140 0.23
2592140 0.24
2592140 0.25
2592140 0.26
2592140 0.27
2592140 0.28
2592140 0.29
2592140 0.30
2592140 0.31
2592140 0.32
2592717 0.18
2592717 0.19
2592717 0.20
2592717 0.21
2592717 0.22
2592717 0.23
2592717 0.24
2592717 0.25
2592717 0.26
2592717 0.27
2592717 0.28
2592717 0.29
2592717 0.30
2592717 0.31
2592717 0.32
2592717 0.33
2592717 0.34
2592717 0.35
2592717 0.36
2592717 0.37
2596172 0.15
2596172 0.17
2596172 0.18
2596172 0.19
2596172 0.21
2596172 0.22
2596172 0.23
2596172 0.24
2596172 0.25
2596172 0.26
2596172 0.27
2596172 0.28
2596172 0.29
2596172 0.30
2596172 0.31
2596172 0.32
2596172 0.33
2596172 0.34
2596172 0.35
2596172 0.37
2600972 0.14
2600972 0.15
2600972 0.16
2600972 0.17
2600972 0.18
2600972 0.19
2600972 0.20
2600972 0.21
2600972 0.22
2600972 0.23
2600972 0.24
2600972 0.25
2600972 0.26
2600972 0.27
2600972 0.28
2600972 0.29
2600972 0.30
2600972 0.32
2600972 0.34
2604427 0.10
2604427 0.11
2604427 0.12
2604427 0.14
2604427 0.15
2604427 0.17
2604427 0.18
2604427 0.19
2604427 0.20
2604427 0.21
2604427 0.22
2604427 0.23
2604427 0.24
2604427 0.25
2604427 0.26
2604427 0.27
2604427 0.28
2604427 0.29
2604427 0.30
2604427 0.31
2604427 0.32
2604427 0.33
2605004 0.19
2605004 0.21
2605004 0.22
2605004 0.23
2605004 0.24
2605004 0.25
2605004 0.26
2605004 0.27
2605004 0.28
2605004 0.29
2605004 0.30
2605004 0.31
2605004 0.32
2605004 0.33
2605004 0.34
2605004 0.35
2605004 0.36
2610602 0.15
2610602 0.16
2610602 0.17
2610602 0.18
2610602 0.19
2610602 0.20
2610602 0.21
2610602 0.22
2610602 0.23
2610602 0.24
2610602 0.25
2610602 0.26
2610602 0.27
2610602 0.28
2610602 0.29
2610602 0.30
2610602 0.31
2610602 0.32
2610602 0.33
2610602 0.34
2610602 0.37
2613259 0.14
2613259 0.15
2613259 0.16
2613259 0.17
2613259 0.18
2613259 0.19
2613259 0.20
2613259 0.21
2613259 0.22
2613259 0.23
2613259 0.24
2613259 0.25
2613259 0.26
2613259 0.27
2613259 0.28
2613259 0.29
2613259 0.30
2613259 0.31
2613259 0.34
2613259 0.35
2618857 0.10
2618857 0.12
2618857 0.14
2618857 0.15
2618857 0.16
2618857 0.17
2618857 0.19
2618857 0.20
2618857 0.21
2618857 0.23
2618857 0.24
2618857 0.25
2618857 0.26
2618857 0.27
2618857 0.28
2618857 0.29
2618857 0.30
2618857 0.31
2618857 0.32
2619434 0.16
2619434 0.19
2619434 0.20
2619434 0.21
2619434 0.22
2619434 0.23
2619434 0.24
2619434 0.25
2619434 0.26
2619434 0.27
2619434 0.28
2619434 0.29
2619434 0.30
2619434 0.31
2619434 0.32
2619434 0.33
2619434 0.34
2619434 0.36
2619434 0.37
2627689 0.13
2627689 0.14
2627689 0.16
2627689 0.17
2627689 0.18
2627689 0.19
2627689 0.20
2627689 0.21
2627689 0.22
2627689 0.23
2627689 0.24
2627689 0.25
2627689 0.26
2627689 0.27
2627689 0.28
2627689 0.29
2627689 0.30
2627689 0.32
2627689 0.33
2627689 0.34
2632269 0.31
2632269 0.35
2632269 0.36
2632269 0.37
2632269 0.38
2632269 0.39
2632269 0.40
2632269 0.41
2632269 0.42
2632269 0.43
2632269 0.44
2632269 0.45
2632269 0.46
2632269 0.49
2640524 0.30
2640524 0.33
2640524 0.35
2640524 0.36
2640524 0.37
2640524 0.38
2640524 0.39
2640524 0.40
2640524 0.41
2640524 0.42
2640524 0.43
2640524 0.44
2640524 0.45
2640524 0.47
2640524 0.48
2641101 0.35
2641101 0.36
2641101 0.37
2641101 0.38
2641101 0.39
2641101 0.40
2641101 0.41
2641101 0.42
2641101 0.43
2641101 0.44
2641101 0.45
2641101 0.46
