x  y
2952686 0.59
2952686 0.61
2952686 0.62
2952686 0.63
2952686 0.64
2952686 0.65
2952686 0.66
2952686 0.67
2952686 0.68
2952686 0.69
2952686 0.70
2952686 0.71
2952686 0.72
2952686 0.73
2952686 0.74
2952686 0.75
2952686 0.76
2952686 0.78
2960941 0.63
2960941 0.64
2960941 0.65
2960941 0.66
2960941 0.67
2960941 0.68
2960941 0.69
2960941 0.71
2960941 0.72
2960941 0.74
2960941 0.75
4185487 0.63
4185487 0.64
4185487 0.67
4185487 0.68
4185487 0.69
4185487 0.70
4185487 0.71
4185487 0.72
4185487 0.73
4185487 0.74
4185487 0.75
4193742 0.65
4193742 0.68
4193742 0.70
4193742 0.71
4193742 0.76
