x  y
5731892 0.16
5731892 0.17
5731892 0.19
5731892 0.24
5731892 0.25
5731892 0.26
5731892 0.27
5731892 0.28
5731892 0.29
5731892 0.30
5731892 0.31
5731892 0.32
5731892 0.33
5731892 0.34
5731892 0.35
5731892 0.36
5731892 0.37
5731892 0.38
5740147 0.04
5740147 0.10
5740147 0.12
5740147 0.13
5740147 0.17
5740147 0.18
5740147 0.20
5740147 0.21
5740147 0.22
5740147 0.23
5740147 0.24
5740147 0.25
5740147 0.26
5740147 0.27
5740147 0.28
5740147 0.29
5740147 0.30
5740147 0.31
5740147 0.32
5740147 0.33
5740147 0.34
5740147 0.35
5740147 0.36
5740147 0.37
5744179 0.16
5744179 0.17
5744179 0.19
5744179 0.24
5744179 0.25
5744179 0.26
5744179 0.27
5744179 0.28
5744179 0.29
5744179 0.30
5744179 0.31
5744179 0.32
5744179 0.33
5744179 0.34
5744179 0.35
5744179 0.36
5744179 0.37
5744179 0.38
5752434 0.04
5752434 0.10
5752434 0.13
5752434 0.17
5752434 0.18
5752434 0.20
5752434 0.21
5752434 0.22
5752434 0.23
5752434 0.24
5752434 0.25
5752434 0.26
5752434 0.27
5752434 0.28
5752434 0.29
5752434 0.30
5752434 0.31
5752434 0.32
5752434 0.33
5752434 0.34
5752434 0.35
5752434 0.36
5752434 0.37
5758609 0.16
5758609 0.17
5758609 0.18
5758609 0.19
5758609 0.24
5758609 0.25
5758609 0.26
5758609 0.27
5758609 0.28
5758609 0.29
5758609 0.30
5758609 0.31
5758609 0.32
5758609 0.33
5758609 0.34
5758609 0.35
5758609 0.36
5758609 0.37
5758609 0.38
5766864 0.04
5766864 0.10
5766864 0.11
5766864 0.13
5766864 0.16
5766864 0.17
5766864 0.20
5766864 0.21
5766864 0.22
5766864 0.23
5766864 0.24
5766864 0.25
5766864 0.26
5766864 0.27
5766864 0.28
5766864 0.29
5766864 0.30
5766864 0.31
5766864 0.32
5766864 0.33
5766864 0.34
5766864 0.35
5766864 0.36
5766864 0.37
5840756 0.30
5840756 0.32
5840756 0.33
5840756 0.34
5840756 0.35
5840756 0.36
5840756 0.37
5840756 0.38
5840756 0.39
5840756 0.40
5840756 0.41
5840756 0.42
5840756 0.43
5840756 0.44
5840756 0.45
5840756 0.46
5849011 0.29
5849011 0.30
5849011 0.31
5849011 0.32
5849011 0.33
5849011 0.34
5849011 0.35
5849011 0.36
5849011 0.37
5849011 0.38
5849011 0.39
5849011 0.40
5849011 0.41
5849011 0.42
5849011 0.43
5849011 0.44
5849011 0.45
5853043 0.31
5853043 0.32
5853043 0.33
5853043 0.34
5853043 0.35
5853043 0.36
5853043 0.37
5853043 0.38
5853043 0.39
5853043 0.40
5853043 0.41
5853043 0.42
5853043 0.43
5853043 0.44
5853043 0.46
5861298 0.29
5861298 0.30
5861298 0.31
5861298 0.32
5861298 0.33
5861298 0.34
5861298 0.35
5861298 0.36
5861298 0.37
5861298 0.38
5861298 0.39
5861298 0.40
5861298 0.41
5861298 0.42
5861298 0.43
5861298 0.44
5867473 0.30
5867473 0.32
5867473 0.33
5867473 0.34
5867473 0.35
5867473 0.36
5867473 0.37
5867473 0.38
5867473 0.39
5867473 0.40
5867473 0.41
5867473 0.42
5867473 0.43
5867473 0.44
5867473 0.45
5875728 0.28
5875728 0.29
5875728 0.30
5875728 0.31
5875728 0.32
5875728 0.33
5875728 0.34
5875728 0.35
5875728 0.36
5875728 0.37
5875728 0.38
5875728 0.39
5875728 0.40
5875728 0.41
5875728 0.42
5875728 0.43
5875728 0.44
