x  y
21529300 4.87e-20
21529300 4.92e-20
21529300 4.93e-20
21529300 5.00e-20
21529300 5.09e-20
21529300 5.17e-20
21529300 5.18e-20
21529300 5.19e-20
21529300 5.20e-20
21529300 5.25e-20
21529300 5.26e-20
21529300 5.30e-20
21529300 5.34e-20
21529300 5.35e-20
21529300 5.37e-20
21529300 5.42e-20
21529300 5.43e-20
21529300 5.44e-20
21529300 5.45e-20
21529300 5.47e-20
21529300 5.48e-20
21529300 5.51e-20
21529300 5.52e-20
21529300 5.53e-20
21529300 5.59e-20
21529300 5.60e-20
21529300 5.68e-20
21533396 0.00
21533396 0.01
21533396 0.05
21533396 0.07
21533396 0.09
21533396 0.10
21533396 0.11
21533396 0.12
21533396 0.13
21533396 0.14
21533396 0.15
21533396 0.16
21533396 0.17
21533396 0.18
21533396 0.19
21533396 0.20
21533396 0.21
21533396 0.22
21533396 0.23
21533396 0.24
21533396 0.25
21533396 0.26
21533396 0.27
21533396 0.28
21533396 0.29
21533396 0.30
21533396 0.31
21533396 0.32
21533396 0.33
21533396 0.34
21533396 0.35
21533396 0.36
21533396 0.37
21533396 0.38
21533396 0.39
21533396 0.40
21533396 0.41
21533396 0.44
21579217 4.87e-20
21579217 4.92e-20
21579217 4.93e-20
21579217 5.00e-20
21579217 5.09e-20
21579217 5.17e-20
21579217 5.18e-20
21579217 5.19e-20
21579217 5.20e-20
21579217 5.25e-20
21579217 5.26e-20
21579217 5.30e-20
21579217 5.34e-20
21579217 5.35e-20
21579217 5.37e-20
21579217 5.42e-20
21579217 5.43e-20
21579217 5.44e-20
21579217 5.45e-20
21579217 5.47e-20
21579217 5.48e-20
21579217 5.51e-20
21579217 5.52e-20
21579217 5.53e-20
21579217 5.59e-20
21579217 5.60e-20
21579217 5.68e-20
21583313 0.00
21583313 0.01
21583313 0.05
21583313 0.07
21583313 0.08
21583313 0.09
21583313 0.10
21583313 0.11
21583313 0.12
21583313 0.13
21583313 0.14
21583313 0.15
21583313 0.16
21583313 0.17
21583313 0.18
21583313 0.19
21583313 0.20
21583313 0.21
21583313 0.22
21583313 0.23
21583313 0.24
21583313 0.25
21583313 0.26
21583313 0.27
21583313 0.28
21583313 0.29
21583313 0.30
21583313 0.31
21583313 0.32
21583313 0.33
21583313 0.34
21583313 0.35
21583313 0.36
21583313 0.37
21583313 0.38
21583313 0.39
21583313 0.40
21583313 0.41
21583313 0.44
21968212 4.87e-20
21968212 4.92e-20
21968212 4.93e-20
21968212 5.00e-20
21968212 5.09e-20
21968212 5.17e-20
21968212 5.18e-20
21968212 5.19e-20
21968212 5.20e-20
21968212 5.25e-20
21968212 5.26e-20
21968212 5.30e-20
21968212 5.34e-20
21968212 5.35e-20
21968212 5.37e-20
21968212 5.42e-20
21968212 5.43e-20
21968212 5.44e-20
21968212 5.45e-20
21968212 5.47e-20
21968212 5.48e-20
21968212 5.51e-20
21968212 5.52e-20
21968212 5.53e-20
21968212 5.59e-20
21968212 5.60e-20
21968212 5.68e-20
21972308 0.46
21972308 0.47
21972308 0.49
21972308 0.50
21972308 0.51
21972308 0.52
21972308 0.53
21972308 0.54
21972308 0.55
21972308 0.56
21972308 0.57
21972308 0.58
21972308 0.59
21972308 0.60
21972308 0.61
21972308 0.62
21972308 0.63
21972308 0.64
21972308 0.66
21972308 0.67
22018129 4.87e-20
22018129 4.92e-20
22018129 4.93e-20
22018129 5.00e-20
22018129 5.09e-20
22018129 5.17e-20
22018129 5.18e-20
22018129 5.19e-20
22018129 5.20e-20
22018129 5.25e-20
22018129 5.26e-20
22018129 5.30e-20
22018129 5.34e-20
22018129 5.35e-20
22018129 5.37e-20
22018129 5.42e-20
22018129 5.43e-20
22018129 5.44e-20
22018129 5.45e-20
22018129 5.47e-20
22018129 5.48e-20
22018129 5.51e-20
22018129 5.52e-20
22018129 5.53e-20
22018129 5.59e-20
22018129 5.60e-20
22018129 5.68e-20
22022225 0.46
22022225 0.47
22022225 0.49
22022225 0.50
22022225 0.51
22022225 0.52
22022225 0.53
22022225 0.54
22022225 0.55
22022225 0.56
22022225 0.57
22022225 0.58
22022225 0.59
22022225 0.60
22022225 0.61
22022225 0.62
22022225 0.63
22022225 0.64
22022225 0.65
22022225 0.66
22022225 0.67
22517014 4.87e-20
22517014 4.92e-20
22517014 4.93e-20
22517014 5.00e-20
22517014 5.09e-20
22517014 5.17e-20
22517014 5.18e-20
22517014 5.19e-20
22517014 5.20e-20
22517014 5.25e-20
22517014 5.26e-20
22517014 5.30e-20
22517014 5.34e-20
22517014 5.35e-20
22517014 5.37e-20
22517014 5.42e-20
22517014 5.43e-20
22517014 5.44e-20
22517014 5.45e-20
22517014 5.47e-20
22517014 5.48e-20
22517014 5.51e-20
22517014 5.52e-20
22517014 5.53e-20
22517014 5.59e-20
22517014 5.60e-20
22517014 5.68e-20
22521110 0.00
22521110 0.01
22521110 0.05
22521110 0.08
22521110 0.09
22521110 0.10
22521110 0.11
22521110 0.12
22521110 0.13
22521110 0.14
22521110 0.15
22521110 0.16
22521110 0.17
22521110 0.18
22521110 0.19
22521110 0.20
22521110 0.21
22521110 0.22
22521110 0.23
22521110 0.24
22521110 0.25
22521110 0.26
22521110 0.27
22521110 0.28
22521110 0.29
22521110 0.30
22521110 0.31
22521110 0.32
22521110 0.33
