x  y
20462484 4.87e-20
20462484 4.92e-20
20462484 4.93e-20
20462484 5.00e-20
20462484 5.09e-20
20462484 5.17e-20
20462484 5.18e-20
20462484 5.19e-20
20462484 5.20e-20
20462484 5.25e-20
20462484 5.26e-20
20462484 5.30e-20
20462484 5.34e-20
20462484 5.35e-20
20462484 5.37e-20
20462484 5.42e-20
20462484 5.43e-20
20462484 5.44e-20
20462484 5.45e-20
20462484 5.47e-20
20462484 5.48e-20
20462484 5.51e-20
20462484 5.52e-20
20462484 5.53e-20
20462484 5.59e-20
20462484 5.60e-20
20462484 5.68e-20
20466580 0.03
20466580 0.04
20466580 0.05
20466580 0.06
20466580 0.07
20466580 0.08
20466580 0.09
20466580 0.10
20466580 0.11
20466580 0.12
20466580 0.13
20466580 0.14
20466580 0.15
20466580 0.16
20466580 0.17
20466580 0.18
20466580 0.19
20466580 0.20
20466580 0.21
20466580 0.22
20466580 0.23
20466580 0.24
20466580 0.25
20466580 0.26
20466580 0.27
20466580 0.28
20466580 0.29
20466580 0.30
20487123 0.05
20487123 0.08
20487123 0.11
20487123 0.13
20487123 0.14
20487123 0.15
20487123 0.16
20487123 0.17
20487123 0.18
20487123 0.19
20487123 0.20
20487123 0.21
20487123 0.22
20487123 0.23
20487123 0.24
20487123 0.25
20487123 0.26
20487123 0.27
20487123 0.28
20487123 0.30
20509873 0.14
20509873 0.15
20509873 0.16
20509873 0.17
20509873 0.18
20509873 0.19
20509873 0.20
20509873 0.22
20509873 0.23
20509873 0.24
20509873 0.25
20509873 0.26
20509873 0.27
20509873 0.28
20905492 0.27
20905492 0.29
20905492 0.30
20905492 0.31
20905492 0.32
20905492 0.33
20905492 0.34
20905492 0.35
20905492 0.36
20905492 0.37
20905492 0.38
20905492 0.39
20905492 0.40
20905492 0.41
20905492 0.42
20905492 0.43
20905492 0.44
20905492 0.45
20926035 0.30
20926035 0.32
20926035 0.33
20926035 0.34
20926035 0.35
20926035 0.36
20926035 0.37
20926035 0.38
20926035 0.39
20926035 0.40
20926035 0.41
20926035 0.42
20926035 0.43
20926035 0.44
20926035 0.45
20948785 0.31
20948785 0.34
20948785 0.36
20948785 0.37
20948785 0.38
20948785 0.39
20948785 0.40
