seed,loss,accuracy,model-seed,dataset-seed
50,0.012780196057695623,0.996890625,736526336,1372813824
104,0.01276943623551051,0.9968671875,4180624640,365277440
123,0.0076270108350921266,0.9984557291666667,613947648,1914904320
519,0.008200301820683913,0.9981041666666667,311617792,1436402944
742,0.010529959210311062,0.997671875,4049666560,3065824768
913,0.00799224744742969,0.9984973958333333,1238376192,3687399936
1185,0.006962280540974462,0.9985052083333333,4003141120,3898529024
1283,0.0061863549233870194,0.9985390625,3418722304,4015133184
1412,0.009634225956940403,0.9977447916666666,1632798208,374381824
1490,0.00930447076226119,0.9981588541666667,650269440,988359680
1681,0.01017651223911768,0.9976380208333333,4014317056,3540401152
1696,0.00821156537825785,0.9982682291666667,683309056,3611397376
1895,0.007393047495395876,0.9988072916666667,1078340864,1941428736
1951,0.005824383022394614,0.9987890625,1751030272,4220676608
2236,0.013279380881256657,0.9969713541666667,2178374144,459002368
2306,0.007638538252562285,0.9982005208333333,3740012288,3307073536
2345,0.02640072156584938,0.9942760416666667,1679069696,3570585856
2549,0.011114995038563696,0.9974973958333333,945938944,3027029760
2743,0.007213193701124207,0.998359375,835103488,788650496
2773,0.008507961108645153,0.9981328125,4247570688,2862171392
3175,0.010711926708550892,0.9975026041666667,804500736,689998592
3254,0.01030108955797429,0.9975078125,1615692288,186924288
3284,0.014075629244752539,0.9965520833333333,3973798912,1584410624
4157,0.017267323829320957,0.995671875,500635136,743463936
4305,0.00742295713138689,0.9982786458333334,1822441216,448162816
4430,0.009361883234795337,0.9978697916666667,2876512000,4286832384
4647,0.006365141997128376,0.998875,246245376,2025312768
4729,0.010460053576641561,0.9977057291666667,1026814208,894770944
4800,0.007439897116952731,0.9984583333333333,3875799296,30924800
4810,0.008683099840612461,0.9983307291666667,2587004160,2214068480
5358,0.006791667973511115,0.9983802083333333,3203087616,1391068160
5615,0.008412374905669519,0.9979244791666667,2307285504,2849664256
5781,0.014827625407391073,0.9964661458333334,1618460160,1860834816
5928,0.03468950227407428,0.9930651041666667,3663314688,2279673088
6082,0.007419382812853049,0.9985364583333334,1149975552,911823616
6155,0.009679709368555146,0.9978671875,708732928,3552310016
6159,0.010557639656045163,0.9974869791666666,606731008,2409157376
6204,0.009995474752106626,0.9977994791666667,3874105856,1973774080
6532,0.008270920912900086,0.9982291666666666,2066458368,2224430848
6549,0.007247091536526569,0.9983489583333334,244984064,783810816
6589,0.013283584789702823,0.9961041666666667,698520832,1843510784
6910,0.03140604692315295,0.9908333333333333,3299481856,2783807488
7098,0.010936882381720352,0.99721875,2256896000,1283041024
