seed,loss,accuracy,model-seed,dataset-seed
50,0.0011628049612748,0.9998463541666668,736526336,1372813824
104,0.0016696510645463,0.999765625,4180624640,365277440
519,0.0016186870592985,0.9998177083333334,311617792,1436402944
742,0.001942645341381,0.9996796875,4049666560,3065824768
913,0.0018502858558398,0.99965625,1238376192,3687399936
1185,0.0027138679999916,0.999765625,4003141120,3898529024
1283,0.0016807476208293,0.9998125,3418722304,4015133184
1412,0.0013597698662148,0.9997734375,1632798208,374381824
1490,0.0014874373171721,0.9997005208333334,650269440,988359680
1681,0.023442678318941,0.9946432291666668,4014317056,3540401152
1696,0.0024213923923768,0.9996822916666668,683309056,3611397376
1895,0.0019359888625864,0.9996770833333334,1078340864,1941428736
1951,0.0306190352995957,0.9935963541666668,1751030272,4220676608
2236,0.0022017409821273,0.9996015625,2178374144,459002368
2306,0.0171423636573599,0.9960182291666668,3740012288,3307073536
2345,0.0050749655437054,0.9986276041666666,1679069696,3570585856
2549,0.001377444020812,0.9998463541666668,945938944,3027029760
2743,0.0013256146029598,0.9997526041666668,835103488,788650496
2773,0.0013698790225801,0.9998177083333334,4247570688,2862171392
3175,0.0012959901049956,0.9998072916666668,804500736,689998592
3254,0.0023605990747698,0.9995390625,1615692288,186924288
3284,0.0023739899458305,0.9996666666666668,3973798912,1584410624
4157,0.00657776879981,0.9989114583333332,500635136,743463936
4305,0.0033970039087337,0.9993177083333332,1822441216,448162816
4430,0.0037921360928303,0.999171875,2876512000,4286832384
4647,0.0023616061534412,0.9993125,246245376,2025312768
4729,0.0017679261079805,0.9997317708333332,1026814208,894770944
4800,0.0015660754529332,0.999828125,3875799296,30924800
4810,0.0011070351293989,0.9999479166666668,2587004160,2214068480
5358,0.0033900400760903,0.9992161458333332,3203087616,1391068160
5615,0.0015235009287328,0.9998463541666668,2307285504,2849664256
5781,0.0017533880504973,0.999703125,1618460160,1860834816
5928,0.001665509191167,0.9996927083333332,3663314688,2279673088
6082,0.001592415245861,0.9997838541666668,1149975552,911823616
6155,0.0077912831124267,0.9980364583333332,708732928,3552310016
6159,0.0301962785537374,0.9938125,606731008,2409157376
6204,0.0012678836884054,0.9998828125,3874105856,1973774080
6532,0.0016809985473276,0.9997760416666668,2066458368,2224430848
6549,0.001878309465935,0.9995494791666668,244984064,783810816
6589,0.0016390669296476,0.99975,698520832,1843510784
6910,0.0021794891623624,0.9995625,3299481856,2783807488
7098,0.0039607650066415,0.9993125,2256896000,1283041024
7238,0.0022400913285867,0.9995859375,4182124032,150166528
7310,0.0016080605778018,0.9997447916666666,3191817472,4091627776
7467,0.0021505860018563,0.9998098958333334,133690880,1539406080
7790,0.0015635145988538,0.9997552083333332,2981887488,48259840
7884,0.0035581587481186,0.9992083333333334,3089011456,980387584
8048,0.0018722662452297,0.9996979166666666,1583456000,979545856
8299,0.0016204862302305,0.9996822916666668,426758656,1078854656
8721,0.0014551868455503,0.999765625,3478093056,2496741376
8745,0.0041418708943238,0.9991328125,21610240,2320919808
8840,0.0020488731331424,0.9995130208333334,3116460544,3077930496
8893,0.0032561893365636,0.9994765625,2154788864,225003008
9132,0.0037772309025555,0.9993177083333332,1097194496,1269016064
9134,0.0021442473600133,0.9997239583333334,4280051712,979018752
9504,0.001698106987494,0.9997317708333332,2151853568,1934131968
9816,0.0014229796369569,0.9998229166666668,43133184,3382309376
10248,0.0092631317753645,0.9983984375,4215369984,1080617216
11124,0.0014474133868255,0.9997395833333332,835792640,4276643072
11130,0.0063934805448176,0.9983255208333334,3871361280,2240793344
11498,0.0018082516746411,0.9997682291666666,3781424640,708523264
11598,0.0013234103446787,0.9997916666666666,214070272,1902424320
11611,0.0015758992268626,0.9996822916666668,3219803392,2466045184
12141,0.0022446851125666,0.9996510416666666,3680300032,632388608
12287,0.0025588549378056,0.9995390625,239432960,4258140928
12457,0.0013397575063136,0.9999192708333332,2694234368,480857600
12493,0.0013149331727181,0.9998307291666668,641352448,2405309952
12552,0.0259354233265427,0.9946458333333332,2893483520,623112960
12561,0.0018407120081586,0.99975,1188185856,3862417920
13036,0.0016152677717327,0.9996953125,2753028864,2200475392
13293,0.0018731529747019,0.9997005208333334,4199627520,756659456
13468,0.0031773946997903,0.9995286458333332,2849090304,3284152576
13654,0.0015677676079212,0.9997083333333332,714561024,2091857152
13716,0.0025093407248884,0.999640625,1437559040,3722843648
14095,0.0015723492206598,0.9997552083333332,2966935808,22505984
14929,0.0037368455848239,0.9991927083333332,2104810752,997291520
15043,0.0015937221789402,0.9996848958333332,3818607104,947755008
15399,0.0013716115062949,0.9997734375,1385697792,872399360
15622,0.0024257647597502,0.9996979166666666,190569216,2822726144
15662,0.0259003699310414,0.9933098958333332,733622016,1144421120
16069,0.0020014794663632,0.99971875,1259742208,1124547840
16149,0.0013131472662789,0.9997786458333332,1612228096,3255385344
16197,0.0537146968482023,0.9915729166666668,982103296,4113234176
16284,0.001870360100569,0.9996015625,2290918912,3753849600
17080,0.0016074082801642,0.9998333333333334,3101050880,2347403264
17096,0.0014916674160291,0.9996901041666668,2523230976,1027367680
17194,0.0033459785019949,0.9992916666666668,858113024,2231615232
17197,0.001768841022936,0.9997421875,621635328,1831352064
18146,0.0017270168649653,0.9997109375,356824576,3263539712
18289,0.0018488765321574,0.9997265625,1870666240,3883802368
18668,0.0019029987132283,0.9996822916666668,3964495616,1756316928
19004,0.0016687352959997,0.999640625,4249189120,3577906176
19093,0.0017937914355861,0.999625,1803973888,2750659072
19451,0.0034391250077848,0.9991276041666668,713913600,847080192
19488,0.0015477594004332,0.9996484375,2146102016,3257967104
19538,0.0015824473776495,0.9998151041666666,1054505728,3574040832
19917,0.0088281813660578,0.9975104166666666,3550789632,2806581248
20013,0.0019606060140213,0.9996588541666668,1205681408,2160832512
20294,0.0270832807762296,0.9946328125,87460096,1720362240
20338,0.0028388512822081,0.9992708333333332,2343337984,3952990720
20415,0.0026372032706082,0.9994453125,76212736,4225253120
20539,0.0011610682372605,0.9998489583333332,2270922240,882614272
20751,0.0015715815189226,0.9998671875,3301316864,1214287872
20754,0.0048380428597398,0.9988046875,1952060928,293427456
20976,0.0114291371288418,0.9974192708333334,2037803520,22264576
21317,0.0014070224183766,0.9998151041666666,1264390912,289757184
21598,0.0020602567116826,0.9996171875,3311665664,3767810816
22261,0.0015557745902381,0.999828125,1924749312,1671875584
22286,0.0014048652017663,0.9997239583333334,4077845504,4162957824
22401,0.0017235442869326,0.9996770833333334,3649412608,3216548096
22545,0.0166651595670264,0.99625,2305222400,2107212288
23241,0.0039383099049785,0.9990885416666668,2503544064,1070085632
23367,0.0017469222995471,0.9997447916666666,1571155968,2423984896
23447,0.0011816672153945,0.9999140625,3658834432,890779904
23633,0.0028165044173219,0.9993411458333332,1582415616,3378365696
23696,0.023782048891182,0.9962135416666666,698865920,2182333696
24144,0.0022579530238193,0.99959375,2926545152,4105730304
24173,0.0014604013414354,0.9999192708333332,276578816,4034788864
