x  y
2856045 6466
2858093 6402
2858093 6466
2864877 6466
2866925 6402
2866925 6466
2881002 6530
2883050 6466
2883050 6530
2889834 6530
2891882 6466
2891882 6530
2904429 6466
2906477 6402
2906477 6466
2913261 6466
2915309 6402
2915309 6466
2929386 6530
2931434 6466
2931434 6530
2938218 6530
2940266 6466
2940266 6530
3614255 6466
3616303 6402
3616303 6466
3622574 6530
3623087 6466
3624622 6466
3624622 6530
3625135 6402
3625135 6466
3631406 6530
3633454 6466
3633454 6530
3662639 6466
3664687 6402
3664687 6466
3670958 6530
3671471 6466
3673006 6466
3673006 6530
3673519 6402
3673519 6466
3679790 6530
3681838 6466
3681838 6530
4820624 6402
4822672 6338
4822672 6402
4829456 6402
4831504 6338
4831504 6402
4869008 6402
4871056 6338
4871056 6402
4877840 6402
4879888 6338
4879888 6402
