x  y
5994900 6466
5996948 6402
5996948 6466
6004372 6466
6006420 6402
6006420 6466
6019857 6530
6021905 6466
6021905 6530
6029329 6530
6031377 6466
6031377 6530
6103764 6466
6105812 6402
6105812 6466
6113236 6466
6115284 6402
6115284 6466
6128721 6530
6130769 6466
6130769 6530
6138193 6530
6140241 6466
6140241 6530
6753110 6466
6755158 6402
6755158 6466
6761429 6530
6762582 6466
6763477 6466
6763477 6530
6764630 6402
6764630 6466
6770901 6530
6772949 6466
6772949 6530
6861974 6466
6864022 6402
6864022 6466
6870293 6530
6871446 6466
6872341 6466
6872341 6530
6873494 6402
6873494 6466
6879765 6530
6881813 6466
6881813 6530
7959479 6402
7961527 6338
7961527 6402
7968951 6402
7970999 6338
7970999 6402
8068343 6402
8070391 6338
8070391 6402
8077815 6402
8079863 6338
8079863 6402
