x  y
2242727 3.22012487405734e-06
2279015 3.22012487405734e-06
3475624 3.22012487405734e-06
3511912 3.22012487405734e-06
2242727 3.22185400275982e-06
2279015 3.22185400275982e-06
3475624 3.22185400275982e-06
3511912 3.22185400275982e-06
2242727 3.222190630168e-06
2244775 3.222190630168e-06
2279015 3.222190630168e-06
3475624 3.222190630168e-06
3477672 3.222190630168e-06
3511912 3.222190630168e-06
2242727 3.27908553339603e-06
2244775 3.27908553339603e-06
2279015 3.27908553339603e-06
3475624 3.27908553339603e-06
3477672 3.27908553339603e-06
3511912 3.27908553339603e-06
2242727 3.27962069934393e-06
2244775 3.27962069934393e-06
2279015 3.27962069934393e-06
3475624 3.27962069934393e-06
3477672 3.27962069934393e-06
3511912 3.27962069934393e-06
2242727 3.27976679069154e-06
2279015 3.27976679069154e-06
3475624 3.27976679069154e-06
3511912 3.27976679069154e-06
2242727 3.27980610263384e-06
2244775 3.27980610263384e-06
2279015 3.27980610263384e-06
3475624 3.27980610263384e-06
3477672 3.27980610263384e-06
3511912 3.27980610263384e-06
2242727 3.28047318022311e-06
2244775 3.28047318022311e-06
2279015 3.28047318022311e-06
3475624 3.28047318022311e-06
3477672 3.28047318022311e-06
3511912 3.28047318022311e-06
2242727 3.28054205529658e-06
2244775 3.28054205529658e-06
2279015 3.28054205529658e-06
3475624 3.28054205529658e-06
3477672 3.28054205529658e-06
3511912 3.28054205529658e-06
2242727 3.2809054583231e-06
2244775 3.2809054583231e-06
2279015 3.2809054583231e-06
3475624 3.2809054583231e-06
3477672 3.2809054583231e-06
3511912 3.2809054583231e-06
2242727 3.29619757240443e-06
2244775 3.29619757240443e-06
2279015 3.29619757240443e-06
2281063 3.29619757240443e-06
3475624 3.29619757240443e-06
3477672 3.29619757240443e-06
3511912 3.29619757240443e-06
3513960 3.29619757240443e-06
2242727 3.29897916388753e-06
2244775 3.29897916388753e-06
2279015 3.29897916388753e-06
3475624 3.29897916388753e-06
3477672 3.29897916388753e-06
3511912 3.29897916388753e-06
2242727 3.33847557931941e-06
2244775 3.33847557931941e-06
2279015 3.33847557931941e-06
3475624 3.33847557931941e-06
3477672 3.33847557931941e-06
3511912 3.33847557931941e-06
2242727 3.33848473451028e-06
2279015 3.33848473451028e-06
3475624 3.33848473451028e-06
3511912 3.33848473451028e-06
2242727 3.33854703094666e-06
2244775 3.33854703094666e-06
2279015 3.33854703094666e-06
3475624 3.33854703094666e-06
3477672 3.33854703094666e-06
3511912 3.33854703094666e-06
2242727 3.33866506219963e-06
2244775 3.33866506219963e-06
2279015 3.33866506219963e-06
3475624 3.33866506219963e-06
3511912 3.33866506219963e-06
2242727 3.33869273009197e-06
2244775 3.33869273009197e-06
2279015 3.33869273009197e-06
3475624 3.33869273009197e-06
3477672 3.33869273009197e-06
3511912 3.33869273009197e-06
2242727 3.33869372534844e-06
2244775 3.33869372534844e-06
2279015 3.33869372534844e-06
3475624 3.33869372534844e-06
3477672 3.33869372534844e-06
3511912 3.33869372534844e-06
2242727 3.33870487226145e-06
2244775 3.33870487226145e-06
2279015 3.33870487226145e-06
3475624 3.33870487226145e-06
3477672 3.33870487226145e-06
3511912 3.33870487226145e-06
2242727 3.33871621830291e-06
2244775 3.33871621830291e-06
2279015 3.33871621830291e-06
3475624 3.33871621830291e-06
3477672 3.33871621830291e-06
3511912 3.33871621830291e-06
2242727 3.33874328987124e-06
2244775 3.33874328987124e-06
2279015 3.33874328987124e-06
3475624 3.33874328987124e-06
3477672 3.33874328987124e-06
3511912 3.33874328987124e-06
2242727 3.33875682582004e-06
2279015 3.33875682582004e-06
3475624 3.33875682582004e-06
3511912 3.33875682582004e-06
2242727 3.33877394497128e-06
2244775 3.33877394497128e-06
2279015 3.33877394497128e-06
3475624 3.33877394497128e-06
3477672 3.33877394497128e-06
3511912 3.33877394497128e-06
2242727 3.33878111117974e-06
2244775 3.33878111117974e-06
2279015 3.33878111117974e-06
3475624 3.33878111117974e-06
3477672 3.33878111117974e-06
3511912 3.33878111117974e-06
2242727 3.33878907366967e-06
2279015 3.33878907366967e-06
3475624 3.33878907366967e-06
3511912 3.33878907366967e-06
2242727 3.33881057258216e-06
2244775 3.33881057258216e-06
2279015 3.33881057258216e-06
3475624 3.33881057258216e-06
3477672 3.33881057258216e-06
3511912 3.33881057258216e-06
2242727 3.33883028016184e-06
2244775 3.33883028016184e-06
2279015 3.33883028016184e-06
3475624 3.33883028016184e-06
3477672 3.33883028016184e-06
3511912 3.33883028016184e-06
2242727 3.33883884009216e-06
2244775 3.33883884009216e-06
2279015 3.33883884009216e-06
3475624 3.33883884009216e-06
3477672 3.33883884009216e-06
3511912 3.33883884009216e-06
2242727 3.33888442743707e-06
2244775 3.33888442743707e-06
2279015 3.33888442743707e-06
3475624 3.33888442743707e-06
3477672 3.33888442743707e-06
3511912 3.33888442743707e-06
2242727 3.33889000152098e-06
2244775 3.33889000152098e-06
2279015 3.33889000152098e-06
3475624 3.33889000152098e-06
3477672 3.33889000152098e-06
3511912 3.33889000152098e-06
2242727 3.33889617284989e-06
2244775 3.33889617284989e-06
2279015 3.33889617284989e-06
3475624 3.33889617284989e-06
3477672 3.33889617284989e-06
3511912 3.33889617284989e-06
2242727 3.33895131767242e-06
2279015 3.33895131767242e-06
3475624 3.33895131767242e-06
3511912 3.33895131767242e-06
2242727 3.3389515167545e-06
2279015 3.3389515167545e-06
3475624 3.3389515167545e-06
3511912 3.3389515167545e-06
2242727 3.3389684388182e-06
2244775 3.3389684388182e-06
2279015 3.3389684388182e-06
3475624 3.3389684388182e-06
3477672 3.3389684388182e-06
3511912 3.3389684388182e-06
2242727 3.33897421226742e-06
2279015 3.33897421226742e-06
